Sucursal,Ubicación,Comuna,Marca,Modelo,Versión,Año,Kilometraje,Placa Patente,Color Exterior,Precio Lista,Link
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,GREAT WALL,H6,1.5 LUXURY 4X2 5P MT,2019,64871,LSPD77,GRIS,10380000,www.pompeyo.cl/usados/LSPD77
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,CHEVROLET,COLORADO,COLORADO 2.8 LS MT DIESEL,2022,81426,RTHT62,BLANCO,18680000,www.pompeyo.cl/usados/RTHT62
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,PEUGEOT,2008,2008 1.5 ALLURE BLUEHDI 130 AT DIESEL,2022,71391,RRLL27,NEGRO PERLA NERA,16480000,www.pompeyo.cl/usados/RRLL27
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,OPEL,CROSSLAND,CROSSLAND EDITION 1.2T MT6,2024,29494,TJPV76,GRIS PLATINIUM,13380000,www.pompeyo.cl/usados/TJPV76
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,PEUGEOT,208,208 1.2 ALLURE PACK PURETECH 130 AT,2024,38414,TFDL48,BLANCO BANQUISE,14580000,www.pompeyo.cl/usados/TFDL48
SEMINUEVOS BILBAO,Av. Francisco Bilbao 5318,Las condes,MG,GT,MG GT 1.5 CVT COM,2022,63114,RZJX59,GRIS GRAFITO,11180000,www.pompeyo.cl/usados/RZJX59
SEMINUEVOS BILBAO,Av. Francisco Bilbao 5318,Las condes,OPEL,GRANDLAND X,GRANDLAND X EDITION 1.6T AT,2021,38179,PSVP72,Gris Plata Quartz Grey,15180000,www.pompeyo.cl/usados/PSVP72
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,OPEL,MOKKA,MOKKA 1.2 ELEGANCE AT,2022,52168,RPGC28,Gris Plata Quartz Grey,14580000,www.pompeyo.cl/usados/RPGC28
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,PEUGEOT,2008,2008 1.2 ACTIVE PACK PURETECH 130 MT,2022,35950,SFCH83,BLANCO NACARADO,13580000,www.pompeyo.cl/usados/SFCH83
AUTOSHOPPING,av. Departamental 4500,Macul,GEELY,OKAVANGO,Okavango Signature GF  2.0 T 7DCT ADAS,2025,9401,TYBZ86,NEGRO,21580000,www.pompeyo.cl/usados/TYBZ86
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,MG,MG 3,MG 3 1.5 COM MT,2020,50345,LVKG56,BLANCO,7780000,www.pompeyo.cl/usados/LVKG56
SEMINUEVOS GRAN AVENIDA,Gran Avenida 6771, San miguel,PEUGEOT,NUEVO 5008,5008 Allure Pack THP 165 EAT6,2025,9422,TSWY48,GRIS ARTENSE,24580000,www.pompeyo.cl/usados/TSWY48
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,CHANGAN,CS15,CS15 1.5 ELITE MT,2022,39489,RSFY97,PLATEADO PLATA,8580000,www.pompeyo.cl/usados/RSFY97
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,MG,MG 3,MG3 1.5 STD MT,2022,51009,SDVC12,AMARILLO,7780000,www.pompeyo.cl/usados/SDVC12
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,GEELY,AZKARRA,AZKARRA 1.5 TURBO LUXURY AT,2023,62165,SJCL21,ROJO,15380000,www.pompeyo.cl/usados/SJCL21
SEMINUEVOS BILBAO,Av. Francisco Bilbao 5318,Las condes,OPEL,GRANDLAND X,Grandland GS Gasolina 130HP AT,2025,24577,TSWY64,NEGRO PERLA NERA,18180000,www.pompeyo.cl/usados/TSWY64
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,OPEL,GRANDLAND X,Grandland GS Gasolina 130HP MT,2025,5518,TSWY66,NEGRO PERLA NERA,18680000,www.pompeyo.cl/usados/TSWY66
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,OPEL,MOKKA,Mokka Elegance Gasolina 130HP AT,2025,22530,TSWY67,ROJO RUBI METALIZADO,15380000,www.pompeyo.cl/usados/TSWY67
SEMINUEVOS IRARRAZAVAL,Av Irarrazaval 1330 , Ñuñoa,PEUGEOT,2008,2008 1.2 ALLURE PACK PURETECH 130HP 4X2 MT 5P,2025,23264,TSWY34,Blanco Okenite,16280000,www.pompeyo.cl/usados/TSWY34
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,PEUGEOT,208,208 MCA ACTIVE Gasolina 100hp MT,2025,9504,TSWY36,BLANCO BANQUISE,11880000,www.pompeyo.cl/usados/TSWY36
SEMINUEVOS IRARRAZAVAL,Av Irarrazaval 1330 , Ñuñoa,OPEL,CORSA,Corsa MCA Edition Gasolina 75HP MT,2025,13444,TTFB57,ROJO PEPERONCINO,11780000,www.pompeyo.cl/usados/TTFB57
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,OPEL,CORSA,Corsa MCA Edition Gasolina 75HP MT,2025,19683,TTFB58,BLANCO BANQUISE,13580000,www.pompeyo.cl/usados/TTFB58
AUTOSHOPPING,av. Departamental 4500,Macul,PEUGEOT,208,208 MCA ACTIVE Gasolina 100hp MT,2025,14679,TSWY38,BLANCO BANQUISE,11180000,www.pompeyo.cl/usados/TSWY38
SEMINUEVOS BILBAO,Av. Francisco Bilbao 5318,Las condes,PEUGEOT,2008,2008 MCA GT Electric 156,2025,9066,TSWY40,GRIS ARTENSE,24580000,www.pompeyo.cl/usados/TSWY40
SEMINUEVOS IRARRAZAVAL,Av Irarrazaval 1330 , Ñuñoa,PEUGEOT,3008,3008 GT HYBRIDA 300 AT,2025,10624,TSWY74,GRIS PLATINUM,28980000,www.pompeyo.cl/usados/TSWY74
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,PEUGEOT,208,208 MCA ACTIVE Gasolina 75hp MT,2025,14778,TTFB39,BLANCO BANQUISE,12480000,www.pompeyo.cl/usados/TTFB39
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,PEUGEOT,Nuevo 2008,2008 MCA ALLURE Gasolina 130hp MT,2025,4583,TSWY30,Blanco Okenite,17180000,www.pompeyo.cl/usados/TSWY30
SEMINUEVOS GRAN AVENIDA,Gran Avenida 6771, San miguel,OPEL,CROSSLAND,CROSSLAND X ENJOY 1.2T AT,2019,75559,LJSW23,ROJO,9180000,www.pompeyo.cl/usados/LJSW23
AUTOSHOPPING,av. Departamental 4500,Macul,MG,RX5,RX5 1.5 COM TST AT,2019,85043,LSCK38,BLANCO,10480000,www.pompeyo.cl/usados/LSCK38
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,PEUGEOT,208,208 1.2 ALLURE PACK PURETECH 130 AT,2023,68742,SGGS11,Azul Vertigo,11980000,www.pompeyo.cl/usados/SGGS11
