Sucursal,Ubicaci�n,Comuna,Marca,Modelo,Versi�n,A�o,Kilometraje,Segmento,Transmision,Combustible,Placa Patente,Color Exterior,Precio Lista,Link,
SEMINUEVOS PLAZA OESTE,Av. Am�rico Vespucio 2451,Cerrillos,PEUGEOT,208,208 1.2 ALLURE PACK PURETECH 130 AT,2024,38414,CityCar,Automatico,Diesel,TFDL48,BLANCO BANQUISE,14580000,www.pompeyo.cl/usados/TFDL48
SEMINUEVOS MOVICENTER,Am�rico Vespucio Norte 1155,Huechuraba,PEUGEOT,208,208 MCA ACTIVE Gasolina 100hp MT,2025,9504,CityCar,Mecanico,Gasolina,TSWY36,BLANCO BANQUISE,11880000,www.pompeyo.cl/usados/TSWY36
AUTOSHOPPING,av. Departamental 4500,Macul,PEUGEOT,208,208 MCA ACTIVE Gasolina 100hp MT,2025,14679,CityCar,Mecanico,Gasolina,TSWY38,BLANCO BANQUISE,11180000,www.pompeyo.cl/usados/TSWY38
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,PEUGEOT,208,208 MCA ACTIVE Gasolina 75hp MT,2025,14778,CityCar,Mecanico,Gasolina,TTFB39,BLANCO BANQUISE,12480000,www.pompeyo.cl/usados/TTFB39
SEMINUEVOS PLAZA OESTE,Av. Am�rico Vespucio 2451,Cerrillos,PEUGEOT,208,208 1.2 ALLURE PACK PURETECH 130 AT,2023,68742,CityCar,Automatico,Diesel,SGGS11,Azul Vertigo,11980000,www.pompeyo.cl/usados/SGGS11
AUTOSHOPPING,av. Departamental 4500,Macul,PEUGEOT,208,208 1.2 ALLURE PACK PURETECH 130 AT,2024,9557,CityCar,Automatico,Diesel,TRCS98,ROJO ELIXIR,14980000,www.pompeyo.cl/usados/TRCS98
SEMINUEVOS PLAZA OESTE,Av. Am�rico Vespucio 2451,Cerrillos,PEUGEOT,208,208 1.2 PURETECH STYLE 75 MT,2024,12404,CityCar,Mecanico,Diesel,TLXT81,BLANCO NACARADO,10980000,www.pompeyo.cl/usados/TLXT81
AUTOSHOPPING,av. Departamental 4500,Macul,PEUGEOT,208,208 1.2 ALLURE PACK PURETECH 130 AT,2021,68796,CityCar,Automatico,Diesel,RDGP10,GRIS PLATINIUM,11580000,www.pompeyo.cl/usados/RDGP10
SEMINUEVOS MOVICENTER,Am�rico Vespucio Norte 1155,Huechuraba,PEUGEOT,208,208 1.2 ALLURE PACK PURETECH 100 MT,2022,50460,CityCar,Mecanico,Diesel,RWWH27,GRIS PLATINUM,10580000,www.pompeyo.cl/usados/RWWH27
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,PEUGEOT,301,301 1.6 ACTIVE PACK VTI 115 MT,2019,31278,CityCar,Mecanico,Gasolina,LFPY74,BLANCO BANQUISE,8980000,www.pompeyo.cl/usados/LFPY74
SEMINUEVOS PLAZA OESTE,Av. Am�rico Vespucio 2451,Cerrillos,PEUGEOT,308,308 1.2 ALLURE PACK PURETECH 130HP AT,2023,61050,CityCar,Automatico,Diesel,SKCS26,BLANCO NACARADO,15180000,www.pompeyo.cl/usados/SKCS26
SEMINUEVOS MOVICENTER,Am�rico Vespucio Norte 1155,Huechuraba,PEUGEOT,308,308  1.5 ALLURE PACK BLUEHDI 130 AT DIESEL,2025,7831,CityCar,Automatico,Diesel,TYBF97,Blanco Okenite,21180000,www.pompeyo.cl/usados/TYBF97
AUTOSHOPPING,av. Departamental 4500,Macul,DFSK,560,560 1.8 COMFORT 2R MT,2024,23609,Suv,Mecanico,Gasolina,THZR71,BLANCO,11080000,www.pompeyo.cl/usados/THZR71
SEMINUEVOS MOVICENTER,Am�rico Vespucio Norte 1155,Huechuraba,PEUGEOT,2008,2008 1.5 ALLURE BLUEHDI 130 AT DIESEL,2022,71391,Suv,Automatico,Diesel,RRLL27,NEGRO PERLA NERA,16480000,www.pompeyo.cl/usados/RRLL27
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,PEUGEOT,2008,2008 1.2 ACTIVE PACK PURETECH 130 MT,2022,35950,Suv,Mecanico,Diesel,SFCH83,BLANCO NACARADO,13580000,www.pompeyo.cl/usados/SFCH83
SEMINUEVOS IRARRAZAVAL,Av Irarrazaval 1330 , �u�oa,PEUGEOT,2008,2008 1.2 ALLURE PACK PURETECH 130HP 4X2 MT 5P,2025,23264,Suv,Mecanico,Diesel,TSWY34,Blanco Okenite,16280000,www.pompeyo.cl/usados/TSWY34
SEMINUEVOS BILBAO,Av. Francisco Bilbao 5318,Las condes,PEUGEOT,2008,2008 MCA GT Electric 156,2025,9066,Suv,Automatico,Electrico,TSWY40,GRIS ARTENSE,24580000,www.pompeyo.cl/usados/TSWY40
SEMINUEVOS BILBAO,Av. Francisco Bilbao 5318,Las condes,PEUGEOT,2008,2008 1.2 ALLURE PACK PURETECH 130 MT,2023,31072,Suv,Mecanico,Diesel,SYJH10,ROJO ELIXIR,13180000,www.pompeyo.cl/usados/SYJH10
SEMINUEVOS MOVICENTER,Am�rico Vespucio Norte 1155,Huechuraba,PEUGEOT,2008,2008 1.2 ALLURE PACK PURETECH 130 MT,2023,14726,Suv,Mecanico,Diesel,SRSJ14,GRIS ARTENSE,14680000,www.pompeyo.cl/usados/SRSJ14
SEMINUEVOS MOVICENTER,Am�rico Vespucio Norte 1155,Huechuraba,PEUGEOT,2008,2008 1.5 ALLURE PACK BLUEHDI 130 AT DIESEL,2025,15720,Suv,Automatico,Diesel,TVCT21,GRIS SELLENIUM,21980000,www.pompeyo.cl/usados/TVCT21
SEMINUEVOS MOVICENTER,Am�rico Vespucio Norte 1155,Huechuraba,PEUGEOT,2008,2008 MCA Allure BlueHDi 130 EAT8,2025,17643,Suv,Automatico,Diesel,TWGZ76,GRIS ARTENSE,19180000,www.pompeyo.cl/usados/TWGZ76
SEMINUEVOS MOVICENTER,Am�rico Vespucio Norte 1155,Huechuraba,PEUGEOT,2008,2008 1.2 ALLURE PACK PURETECH 130 MT,2024,15791,Suv,Mecanico,Diesel,TRGB53,Blanco Okenite,16880000,www.pompeyo.cl/usados/TRGB53
